id,risk_name,category,likelihood,impact,description,mitigation
1,Requirements Creep,Scope,High,High,"Stakeholders continuously add new requirements after the design phase, causing delays and budget overruns.","Implement a formal change control board and freeze requirements after milestone reviews."
2,Vendor Lock-In,Supply Chain,Medium,High,"Dependence on a single supplier for critical components limits flexibility and increases cost risk.","Qualify at least two alternative vendors for each critical component."
3,Integration Failure,Technical,Medium,High,"Subsystems developed by different teams fail to interface correctly during system integration testing.","Define interface control documents early and conduct incremental integration tests."
4,Budget Overrun,Financial,High,High,"Project costs exceed the approved budget due to underestimated complexity or scope changes.","Use parametric cost estimation models and maintain a 15% management reserve."
5,Schedule Slip,Schedule,High,Medium,"Milestones are missed due to resource constraints or unforeseen technical challenges.","Build schedule buffers at critical path junctions and track earned value metrics."
6,Cybersecurity Breach,Security,Low,High,"A vulnerability in the system architecture is exploited, compromising data integrity or availability.","Conduct threat modeling during design and perform regular penetration testing."
7,Staff Turnover,Organizational,Medium,Medium,"Key engineers leave the project, resulting in knowledge loss and ramp-up time for replacements.","Maintain up-to-date documentation and cross-train team members on critical subsystems."
8,Regulatory Non-Compliance,Regulatory,Low,High,"The delivered system does not meet evolving government or industry standards.","Assign a compliance officer to track regulatory changes and incorporate them into requirements."
9,Test Environment Unavailable,Technical,Medium,Medium,"The hardware-in-the-loop test environment is unavailable when needed, delaying verification.","Reserve test environment slots early and develop a simulation-based backup test plan."
10,Communication Breakdown,Organizational,Medium,Medium,"Distributed teams across time zones have misaligned expectations due to poor communication.","Hold weekly cross-team sync meetings and use a shared project dashboard for status updates."
11,Technology Obsolescence,Technical,Low,Medium,"A key technology becomes obsolete before the system is fielded, requiring redesign.","Select components with long-term vendor support commitments and plan technology refresh cycles."
12,Data Loss,Security,Low,High,"Critical project or operational data is lost due to hardware failure or human error.","Implement automated daily backups with offsite redundancy and periodic restore tests."
